Year,Book,Edition,Author,Language,Translated from,Source,Link,epdf,fb_occurrence (0=none 1=rare 2=occasional 3=common 4=dense),rn_occurrence? (0=none 1=rare 2=occasional 3=common 4=dense),rn_specific_pages,rn_case_sensitive,rn_inversion_letter,rn_inversion_numeric,rn_multirow,rn_appliedchord,rn_fraction,notes_1,notes_2,notes_3,notes_4,,Roman numerals?,Case sensitive?,Inversions?,Applied chords?
1913,Étude sur l'harmonie moderne,,"Lenormand, René",French,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/36905055,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*: Translation to English available here: https://imslp.org/wiki/%C3%89tude_sur_l%27harmonie_moderne_(Lenormand%2C_Ren%C3%A9),,,,,,,,
1914,Etude sur les Intervalles Diatoniques Et Chromatiques,,"Gilson, Paul",French,,Forgottenbooks,https://www.forgottenbooks.com/fr/books/EtudesurlesIntervallesDiatoniquesEtChromatiques_10768698,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*: The notation here seems clearly Riemannian; probably explains why the other notation also feels Riemannian with more complex symbols,,,,,No,No,No,No
1915,Harmony,,"Spencer, Stanhope Reid",English,,Other,https://hdl.handle.net/2027/nyp.33433082182266,Yes,3,3,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"pp.56: multirow analysis; pp.72: Uses the III+ notation for augmented triads; *: Inversions are written between staffs. This is similar in several other books. It does seem like the numeric inversions used nowaday evolved from figured bass indications that were originally independent of the Roman numeral; Use of multi-row multi-key annotations in modulation, very similar to how it is done today",,,,,Yes,Yes,,
1915,Modern Harmony: its Explanation and Application,,"Hull, Arthur Eaglefield",English,,IMSLP,https://imslp.org/wiki/Modern_Harmony%2C_its_explanation_and_application_(Hull%2C_Arthur_Eaglefield),Yes,1,1,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,pp.79: Use of Roman numerals,,,,,Scarce (pp. 79),No,Yes (letter),No
1916,Practical Lesson Plans in Harmony,,"Leavitt, Helen Sewall",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/PracticalLessonPlansinHarmony_10040781,Yes,0,3,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,Yes,Yes,Yes!,No
1916,Harmony Book for Beginners,,"Orem, Preston Ware",English,,IMSLP,https://imslp.org/wiki/Harmony_Book_for_Beginners_(Orem%2C_Preston_Ware),Yes,3,3,95,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,pp.95: using the single-quote notation for III',,,,,Yes,Yes,Yes,No
1917,Keyboard Training in Harmony,,"Heacox, Arthur E.",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/KeyboardTraininginHarmony_10627653,Yes,3,3,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Vol2-pp.3: N6 notation for neapolitan; Vol2-pp.24: A common-tone diminished seventh written as ~IVdim7,,,,,Yes,Yes,Yes,No
1918,Harmony in Pianoforte-Study,,"Fowles, Ernest",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t7vm45k8r,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1918,Aural Harmony,,"Robinson, Franklin",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/AuralHarmony_10016720,Yes,0,3,93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pp.93: First example of chord inversion notation; *: Inversions are written with numbers (0--2); I have never seen this notation anywhere other than this book,,,,,Yes,No,Yes,No
1919,A Treatise on Harmony,,"Anger, Joseph Humfrey and Clough-Leighter, Henry",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/ATreatiseonHarmony_10028321,Yes,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"pp.123: Also using the inversion syntax seen in Robinson (1918); *: Weird syntax with ""+"" for major and ""-"" for minor",,,,,Yes,No,No,No
1919,The Foundations of Music,,"Watt, Henry J.",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/TheFoundationsofMusic_10002453,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*: More an early book of music perception than music theory,,,,,No,No,No,No
1919,Modulation and Related Harmonic Questions,,"Foote, Arthur",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/ModulationandRelatedHarmonicQuestions_10014878,Yes,3,3,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1919,Les Principes de l'Harmonie,,"Deveaux, Orpha-F. ",French,,Forgottenbooks,https://www.forgottenbooks.com/fr/books/LesPrincipesdelHarmonie_11146411,Yes,3,1,61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"pp.61: An example with Roman numerals; *: The modulation examples have an underbracket with roman numerals referring to keys (modulationstart - modulationend); Everything else is figured bass; Ocassionally, roman numerals also used to refer to chords in explanations",,,,,Yes (used to refer to keys in the modulation section),No,No,No
1919,Traité d'harmonie,,"Gilson, Paul",French,,Forgottenbooks,https://www.forgottenbooks.com/fr/books/TraitedHarmonie_10605516,Yes,1,3,"21, 49, 90",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"pp.21: Fractional notation; pp.49: A clear example of the fractional notation; pp.90: An example of VV notation (dominant of the dominant); *: A clearly Riemannian system with Ir to denote vi; where the ""r"" means ""relative""; also makes use of the convention V64 for the Cad64; There is another VV convention for secondary dominants; Numerator/Denominator notation used, arguably, it means ""or"" instead of ""of""",,,,,Yes,No,No,Yes
1919,The Rudiments of Music and Elementary Harmony,,"Ham, Albert",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/TheRudimentsofMusicandElementaryHarmony_10668197,Yes,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,no
1920,Melody and Harmony: A Treatise for the Teacher and the Student,,"Macpherson, Charles Stewart",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=wu.89004542072,Yes,1,3,"199, 245",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"pp.199: Nb used for Neapolitan; pp.245: the syntax for augsix chords (striked VI and striked II); *: Very peculiar notation, Roman numerals used in melodization exercises, only for dominant chords, and  key regions (tonicizations) are indicated with a bracket below the staff and the name of the key; In further exercises, other degrees are introduced; inversions indicated with letters",,,,,Yes,No,No,No
1920,Elementary harmony,,"Kitson, Charles Hebert",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=umn.319510017271776&view=1up&seq=5&skin=2021,Yes,2,2,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,Yes (in the modulation chapter),No,Yes (letter),No
1920,Unfigured harmony,2,"Buck, Percy Carter",English,,Internet Archive,https://archive.org/details/cu31924021756022,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1920,Der Aufbau der Kadenz und Anderes,,"Koch, Friedrich E.",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/DerAufbauderKadenzundAnderes_10587577,Yes,1,3,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,Yes,No,Yes,No
1921,Applied Harmony,,"Alchin, Carolyn A.",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/AppliedHarmony_10423994,Yes,2,3,"124, 161",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"pp.124: Using the single-quote notation for Augmented triads; pp.161: Notation of the Neapolitan (N6); *: Inversions are Arabic numerals {3, 5, 7} where the number indicates the scale degree acting as the bass",An example of an inversion notation that is neither the numeric or by-letter categories I mention,,,,Yes (inconsistently),Yes (inconsistently),No,No
1921,Aufgaben für den Unterricht in der Harmonielehre,4,"Knorr, Iwan",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/AufgabenfurdenUnterrichtinderHarmonielehre_10320018,Yes,2,3,19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,pp.19: Has some interesting syntax of Cad64 with I64 written with a (V) underneath. Applies the same idea to other suspensions like I4 (V),,,,,Yes,Yes,Yes,No
1921,Traité d'harmonie théorique et pratique,,"Dubois, Théodore",French,,IMSLP,https://imslp.org/wiki/Trait%C3%A9_d%27harmonie_th%C3%A9orique_et_pratique_(Dubois%2C_Th%C3%A9odore),Yes,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*: Couldn't find a single Roman numeral,,,,,No,No,No,No
1922,Grundlagen des Mehrstimmigen Satzes (Harmonielehre),,"Klatte, Wilhelm",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/GrundlagendesMehrstimmigenSatzesHarmonielehre_11202101,Yes,2,1,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,pp.61: Using an arrow to notate applied chords; *: Riemannian notation,,,,,Yes,No,No,No
1922,"Neue Musikalische Theorien und Phantasien: Kontrapunkt, Zweiter Teil",,"Schenker, Heinrich",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/NeueMusikalischeTheorienundPhantasien_10359267,Yes,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1922,Harmonielehre,3,"Schoenberg, Arnold",German,,IMSLP,https://imslp.org/wiki/Harmonielehre_(Schoenberg%2C_Arnold),Yes,3,3,135,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"pp.62: case-unsensitive notation; pp.135: Example of problematic case-unsensitive notation, can't distinguish between v and V without having the score",,,,,Yes,No,Yes,No
1924,Keyboard harmony,,"Wedge, George Anson",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/401274,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1924,The beginner's guide to harmony,2,"Scholes, Percy Alfred",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/3032984,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1927,An approach to harmony,,"McConathy, Osbourne",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/927235,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1927,Neue harmonielehre,,"Hába, Alois",German,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/123192752,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1928,Theorie der Tonkunst und Kompositionlehre,4,"Krehl, Stephan",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/Harmonielehre_11145720,Yes,0,1,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1928,Traité de l'harmonie,,"Koechlin, Charles",French,,Other,http://petruccilibrary.ca/files/imglnks/caimg/6/6f/IMSLP298521-PMLP298738-Koechlin_C_Trait%C3%A9_de_l%27harmonie_%28Max_Eschig%29_1.pdf,Yes,3,1,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pp.26: The Roman numerals still refer to a scale degree instead of a chord,,,,,No,No,No,No
1930,"Applied harmony, a text-book",,"Wedge, George A.",English,,Internet Archive,https://archive.org/details/appliedharmonyte0000unse/mode/2up,Yes,2,2,129,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,pp.129: An example of the inversion notation,"He seems to use the numeric system of {1, 2, 3} to denote inversions",,,,,,,
1930,Modern elementary harmony,,"Campbell-Watson, Frank",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/16137626,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1931,Foundations of practical harmony & counterpoint,2,"Morris, Reginald Owen",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/231854,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1935,Der freie Satz,,"Schenker, Heinrich",German,,IMSLP,"https://imslp.org/wiki/Der_freie_Satz_(Schenker,_Heinrich)",Yes,0,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"*: No music notation, just plain text",,,,,Yes,No,No,No
1937,Practice in modern harmony,,"Barnes, Archie Fairbairn",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/2421603,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1939,Harmony and its contrapuntal treatment,,"Jones, Robert Gomer",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/HarmonyandItsContrapuntalTreatment_10847874,Yes,2,2,"20, 30, 161",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,pp.20: Using the single-quote notation for augmented triads; pp.30: Figured bass and Roman numerals in same row; pp.161: Very well-explained example of diatonic modulation,,,,,,,,
1941,Harmony,,"Piston, Walter",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/935345,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"*: Piston uses both syntaxes (V of V) and (V/V). The slash appears later in the book, I haven't realized if there are specific indications of what it means and when the slash is used instead of ""of""; Piston went as far as ""degree of N"" and ""Ger of degree""; the syntax is pretty advanced at this stage; second edition here: https://archive.org/details/harmonypist00pist/page/n7/mode/2up",,,,,Yes,Yes,Yes (letters),Yes
1943,A concentrated course in traditional harmony,2,"Hindemith, Paul",English,,IMSLP,https://imslp.org/wiki/A_Concentrated_Course_in_Traditional_Harmony_(Hindemith%2C_Paul),Yes,3,3,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"*: Editions are weird for this one; it seems that the English version came out first (1943), before the German edition (1948), even tho Hindemith was German. Hindemith talks about ""secondary dominants"", but does not provide a syntax for them, other than figured bass",,,,,,,,
1945,Counterpoint and harmony,,"Bairstow, Edward Cuthbert",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/395427,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*: Got a kindle version because it was very cheap,,,,,,,,
1946,"The Oxford harmony, Vol. 1",,"Morris, Reginald Owen",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/223003103,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1951,Creative harmony and musicianship,,"Murphy, Howard Ansley and Stringham, Edwin John",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/485050,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1958,Harmony for the listener,,"Jacobs, Robert Louis",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/615280,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1961,Elementary harmony: Theory and practice,,"Ottman, Robert W.",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=mdp.39015009602825&view=1up&seq=7&skin=2021,Yes,3,3,"75, 148",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,pp75: First time I see lower case Roman numerals instead of smaller-cased ones; pp.148: Using the + notation for augmented triads,,,,,,,,
1961,Advanced harmony: Theory and practice,,"Ottman, Robert W.",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/612968,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1964,Practical harmony,,"Tischler, Hans",English,,Internet Archive,https://archive.org/details/practicalharmony0000tisc,Yes,2,3,"163, 225, 232, 233",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"pp.163: Using + syntax for augmented triads; pp.225: Use of N6 notation for Neapolitan; pp.232: Right before the first tonicization, a D/degree notation where ""D"" can be replaced by any dominant chosen by the student; pp.233: Tonicization first appears; *: lower case instead of small case in Roman numerals",,,,,,,,
1965,Harmony in Western Music,,"Goldman, Richard Franko",English,,Internet Archive,https://archive.org/details/harmonyinwestern00gold,Yes,0,3,"58, 59, 79, 86, 89",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"pp.58: V7ofV notation; pp.59: Another V7ofVI, chose this one because the previous had an error; pp.79: N6 notation for Neapolitan; pp.86: It, Fr, German notation for augsix chords; pp.89: Some examples of V7ofN",,,,,,,,
1965,Elementary harmony,3,"Mitchell, William John",English,,Internet Archive,https://archive.org/details/elementaryharmon0003mitc,Yes,3,3,"212, 223",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"pp.212: Applied dominants notation (V-I underneath), using the term ""applied dominants"" explicitly; pp.223: Alternative notation of applied dominants",,,,,,,,
1965,Harmony and melody,,"Siegmeister, Elie",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/857589,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1965,Harmonielehre,,"Abraham, Lars Ulrich",German,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/427275645,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1966,Contemporary harmony,,"Ulehla, Ludmila",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/711733,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1967,Fundamentals of music composition,,"Schoenberg, Arnold",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/880915,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*: Published after Schoenberg's death; ideas are potentially much older,,,,,,,,
1969,Structural functions of harmony,,"Schoenberg, Arnold",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/16791,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*: Published after Schoenberg's death; ideas are potentially much older,,,,,,,,
1975,Naturkundliche Harmonielehre,,"Scheidt, Walter",German,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/2289262,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1977,Hugo Riemann's Theory of harmony,,"Mickelsen, William",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/2189433,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1977,Entwurf einer zusammenhängenden Harmonielehre,,"Dreyer, Ernst-Jürgen",German,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/4100802,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1978,Harmonielehre,,"de la Motte, Diether",German,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/5742830,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1978,Harmony and voice leading,,"Aldwell, Edward and Schachter, Carl",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/4465723,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1979,Tonal harmony in concept and practice,3,"Forte, Allen",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/4195209,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1982,Harmony in tonal music,,"Lester, Joel",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/7671402,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1984,Harmony in action,,"Tunley, David",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/10913727,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1984,Tonal harmony: with an introduction to twentieth-century music,,"Kostka, Stefan M. and Payne, Dorothy",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/10100931,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*: Second edition here: https://archive.org/details/tonalharmonywith00stef,,,,,,,,
1985,Functional harmony,,"Toutant, William",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/10912694,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1985,A theory of harmony,,"Levy, Ernst",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/12134915,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
2002,Harmony book,,"Carter, Elliott",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/50105035,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
2002,Harmonic rhythm,,"Swain, Joseph Peter",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/47756239,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
2002,Der Tonwille,,"Schenker, Heinrich",English,German,McGill library,https://mcgill.on.worldcat.org/v2/oclc/437173109,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
2010,Harmony,2,"Sarnecki, Mark",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/705921901,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
2011,Harmony in context,,"Roig-Francoli, Miguel A.",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/436028158,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
